"filename", "language", "Markdown", "JavaScript JSX", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\redux\slices\dataSlice.js", "JavaScript", 0, 0, 135, 0, 0, 0, 2, 8, 145
"d:\Ayush\datavisual\VisualizationDashboard\source\client\src\redux\store.js", "JavaScript", 0, 0, 10, 0, 0, 0, 1, 4, 15
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Controllers\dataController.js", "JavaScript", 0, 0, 97, 0, 0, 0, 1, 8, 106
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Middlewares\errorHandlerMiddleware.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Middlewares\errorLoggerMiddleware.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 11, 54
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Models\dataModel.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 4, 60
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Routes\apiRouter.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Routes\dataRouter.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\Ayush\datavisual\VisualizationDashboard\source\server\Services\dataService.js", "JavaScript", 0, 0, 92, 0, 0, 0, 20, 16, 128
"d:\Ayush\datavisual\VisualizationDashboard\source\server\config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Ayush\datavisual\VisualizationDashboard\source\server\database\connection.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 3, 17
"d:\Ayush\datavisual\VisualizationDashboard\source\server\index.js", "JavaScript", 0, 0, 25, 0, 0, 0, 3, 5, 33
"d:\Ayush\datavisual\VisualizationDashboard\source\server\jsondata.json", "JSON", 0, 0, 0, 0, 19002, 0, 0, 1, 19003
"d:\Ayush\datavisual\VisualizationDashboard\source\server\package-lock.json", "JSON", 0, 0, 0, 0, 2121, 0, 0, 1, 2122
"d:\Ayush\datavisual\VisualizationDashboard\source\server\package.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 1, 23
"Total", "-", 39, 367, 554, 133, 51825, 22, 58, 198, 53196
